x,y
264.0,45110.62222222222
265.0,44202.666666666664
266.0,43319.11111111111
267.0,42477.8
268.0,41681.75555555556
269.0,40947.688888888886
270.0,40296.48888888889
271.0,39735.48888888889
272.0,39300.11111111111
273.0,39005.28888888889
274.0,38853.46666666667
275.0,38863.91111111111
276.0,39036.97777777778
277.0,39375.73333333333
278.0,39848.933333333334
279.0,40403.4
280.0,41007.51111111111
281.0,41597.91111111111
282.0,42165.666666666664
283.0,42687.0
284.0,43181.84444444445
285.0,43664.35555555556
286.0,44170.37777777778
287.0,44721.64444444444
288.0,45343.4
289.0,46032.37777777778
290.0,46761.97777777778
291.0,47506.88888888889
292.0,48231.11111111111
293.0,48923.64444444444
294.0,49577.8
295.0,50193.066666666666
296.0,50767.88888888889
297.0,51301.688888888886
298.0,51807.688888888886
299.0,52279.15555555555
300.0,52730.35555555556
301.0,53155.666666666664
302.0,53563.88888888889
303.0,53963.311111111114
304.0,54355.37777777778
305.0,54737.46666666667
306.0,55114.35555555556
307.0,55484.666666666664
308.0,55848.311111111114
309.0,56206.88888888889
310.0,56559.62222222222
311.0,56912.044444444444
312.0,57264.933333333334
313.0,57636.555555555555
314.0,58024.91111111111
315.0,58465.24444444444
316.0,58956.15555555555
317.0,59505.15555555555
318.0,60065.955555555556
319.0,60612.24444444444
320.0,61070.75555555556
321.0,61409.22222222222
322.0,61614.15555555555
323.0,61703.4
324.0,61711.0
325.0,61665.2
326.0,61606.77777777778
327.0,61539.84444444445
328.0,61485.311111111114
329.0,61418.666666666664
330.0,61331.666666666664
331.0,61188.97777777778
332.0,60976.15555555555
333.0,60666.8
334.0,60267.08888888889
335.0,59807.311111111114
336.0,59314.53333333333
337.0,58824.666666666664
338.0,58350.24444444444
339.0,57894.51111111111
340.0,57468.46666666667
341.0,57072.51111111111
342.0,56710.35555555556
343.0,56373.75555555556
344.0,56067.88888888889
345.0,55775.91111111111
346.0,55504.2
347.0,55244.37777777778
348.0,54989.444444444445
349.0,54736.11111111111
350.0,54481.13333333333
351.0,54224.64444444444
352.0,53965.555555555555
353.0,53695.28888888889
354.0,53410.11111111111
355.0,53113.311111111114
356.0,52795.444444444445
357.0,52451.91111111111
358.0,52071.2
359.0,51651.37777777778
360.0,51160.64444444444
361.0,50603.333333333336
362.0,49959.91111111111
363.0,49252.0
364.0,48509.15555555555
365.0,47766.77777777778
366.0,47050.97777777778
367.0,46369.08888888889
368.0,45735.71111111111
369.0,45159.97777777778
370.0,44650.044444444444
371.0,44222.64444444444
372.0,43886.13333333333
373.0,43652.88888888889
374.0,43539.0
375.0,43553.86666666667
376.0,43713.91111111111
377.0,44019.73333333333
378.0,44446.555555555555
379.0,44953.177777777775
380.0,45479.13333333333
381.0,45987.22222222222
382.0,46441.24444444444
383.0,46828.11111111111
384.0,47148.15555555555
385.0,47393.066666666666
386.0,47593.73333333333
387.0,47750.13333333333
388.0,47885.0
389.0,47996.88888888889
390.0,48104.11111111111
391.0,48228.26666666667
392.0,48396.22222222222
393.0,48634.044444444444
394.0,48936.044444444444
395.0,49302.37777777778
396.0,49698.26666666667
397.0,50121.688888888886
398.0,50553.46666666667
399.0,50982.62222222222
400.0,51395.28888888889
401.0,51788.555555555555
402.0,52164.88888888889
403.0,52515.42222222222
404.0,52844.08888888889
405.0,53150.75555555556
406.0,53435.73333333333
407.0,53706.933333333334
408.0,53969.97777777778
409.0,54231.4
410.0,54489.71111111111
411.0,54750.62222222222
412.0,55011.28888888889
413.0,55270.53333333333
414.0,55531.77777777778
415.0,55798.822222222225
416.0,56062.24444444444
417.0,56330.177777777775
418.0,56584.62222222222
419.0,56829.73333333333
420.0,57063.37777777778
421.0,57286.53333333333
422.0,57491.75555555556
423.0,57696.88888888889
424.0,57895.13333333333
425.0,58107.35555555556
426.0,58357.46666666667
427.0,58666.86666666667
428.0,59038.28888888889
429.0,59452.8
430.0,59892.333333333336
431.0,60315.955555555556
432.0,60715.48888888889
433.0,61062.37777777778
434.0,61362.73333333333
435.0,61606.044444444444
436.0,61776.2
437.0,61839.71111111111
438.0,61786.688888888886
439.0,61628.08888888889
440.0,61368.6
441.0,61037.333333333336
442.0,60645.13333333333
443.0,60217.15555555555
444.0,59774.955555555556
445.0,59324.822222222225
446.0,58876.688888888886
447.0,58432.13333333333
448.0,57998.555555555555
449.0,57569.62222222222
450.0,57147.666666666664
451.0,56728.02222222222
452.0,56311.97777777778
453.0,55893.177777777775
454.0,55462.933333333334
455.0,55021.955555555556
456.0,54568.8
457.0,54102.333333333336
458.0,53622.6
459.0,53119.86666666667
460.0,52596.6
461.0,52053.88888888889
462.0,51480.666666666664
463.0,50876.444444444445
464.0,50224.64444444444
465.0,49509.13333333333
466.0,48708.48888888889
467.0,47819.6
468.0,46850.08888888889
469.0,45839.444444444445
470.0,44827.177777777775
471.0,43822.933333333334
472.0,42838.48888888889
473.0,41879.22222222222
474.0,40964.11111111111
475.0,40107.0
476.0,39317.2
477.0,38594.333333333336
478.0,37936.48888888889
479.0,37337.71111111111
480.0,36793.64444444444
481.0,36300.333333333336
482.0,35868.02222222222
483.0,35481.73333333333
484.0,35148.51111111111
485.0,34872.0
486.0,34673.0
487.0,34566.2
488.0,34564.555555555555
489.0,34688.4
490.0,34933.066666666666
491.0,35316.73333333333
492.0,35815.73333333333
493.0,36427.555555555555
494.0,37121.62222222222
495.0,37874.955555555556
496.0,38660.53333333333
497.0,39444.066666666666
498.0,40217.688888888886
499.0,40964.2
500.0,41683.73333333333
501.0,42364.11111111111
502.0,43015.933333333334
503.0,43642.73333333333
504.0,44253.42222222222
505.0,44851.53333333333
506.0,45440.822222222225
507.0,46023.57777777778
508.0,46610.28888888889
509.0,47196.6
510.0,47782.955555555556
511.0,48374.37777777778
512.0,48967.2
513.0,49566.311111111114
514.0,50172.28888888889
515.0,50787.28888888889
516.0,51421.77777777778
517.0,52083.86666666667
518.0,52786.51111111111
519.0,53547.08888888889
520.0,54372.02222222222
521.0,55271.37777777778
522.0,56239.444444444445
523.0,57265.13333333333
524.0,58329.0
525.0,59408.555555555555
526.0,60477.73333333333
